0;Cam_3_2016-07-19T12:48:49.006330Z--2016-07-19T12:54:28.851192Z.mkv;Cam_3_2016-07-19T12:54:29.183033Z--2016-07-19T13:00:09.030052Z.mkv;0.8956720158499551;[[1.0, 0.0, 0.05330986529588699], [0.0, 1.0, -0.11381623893976212]]
1;Cam_3_2016-07-19T12:54:29.183033Z--2016-07-19T13:00:09.030052Z.mkv;Cam_3_2016-07-19T13:00:09.362783Z--2016-07-19T13:05:49.209160Z.mkv;0.895113300966371;[[1.0, 0.0, -0.0816541388630867], [0.0, 1.0, 0.40245187282562256]]
2;Cam_3_2016-07-19T13:00:09.362783Z--2016-07-19T13:05:49.209160Z.mkv;Cam_3_2016-07-19T13:05:49.540762Z--2016-07-19T13:11:29.386784Z.mkv;0.8921826817728772;[[1.0, 0.0, 0.0007862290367484093], [0.0, 1.0, 0.1475367546081543]]
3;Cam_3_2016-07-19T13:05:49.540762Z--2016-07-19T13:11:29.386784Z.mkv;Cam_3_2016-07-19T13:11:29.721709Z--2016-07-19T13:17:09.566723Z.mkv;0.8978844644364694;[[1.0, 0.0, -0.14138060808181763], [0.0, 1.0, 0.027124252170324326]]
4;Cam_3_2016-07-19T13:11:29.721709Z--2016-07-19T13:17:09.566723Z.mkv;Cam_3_2016-07-19T13:17:09.898699Z--2016-07-19T13:22:49.744693Z.mkv;0.8963844629865277;[[1.0, 0.0, 0.2597546875476837], [0.0, 1.0, -0.18069982528686523]]
5;Cam_3_2016-07-19T13:17:09.898699Z--2016-07-19T13:22:49.744693Z.mkv;Cam_3_2016-07-19T13:22:50.077267Z--2016-07-19T13:28:29.924003Z.mkv;0.8972159518850584;[[1.0, 0.0, -0.05827534943819046], [0.0, 1.0, 0.20629358291625977]]
6;Cam_3_2016-07-19T13:22:50.077267Z--2016-07-19T13:28:29.924003Z.mkv;Cam_3_2016-07-19T13:28:30.259222Z--2016-07-19T13:34:10.103382Z.mkv;0.8886793444658772;[[1.0, 0.0, -0.22517366707324982], [0.0, 1.0, 0.2798214256763458]]
7;Cam_3_2016-07-19T13:28:30.259222Z--2016-07-19T13:34:10.103382Z.mkv;Cam_3_2016-07-19T13:34:10.436725Z--2016-07-19T13:39:50.283843Z.mkv;0.9078354196406396;[[1.0, 0.0, 0.04393753036856651], [0.0, 1.0, 0.04976212978363037]]
8;Cam_3_2016-07-19T13:34:10.436725Z--2016-07-19T13:39:50.283843Z.mkv;Cam_3_2016-07-19T13:39:50.617662Z--2016-07-19T13:45:30.462240Z.mkv;0.9060379399541657;[[1.0, 0.0, 0.11642540991306305], [0.0, 1.0, -0.22963085770606995]]
9;Cam_3_2016-07-19T13:39:50.617662Z--2016-07-19T13:45:30.462240Z.mkv;Cam_3_2016-07-19T13:45:30.801044Z--2016-07-19T13:51:10.642108Z.mkv;0.8978103983001671;[[1.0, 0.0, -0.053644925355911255], [0.0, 1.0, -0.01027634833008051]]
